ID,Name,Rating,Description,Address,Phone_Number,Website
10012433,Warbreck Car Sales Ltd,5.0,,"95 ORRELL LANE, Liverpool, Lancashire, L9 8BL",(0151)-382-7186,www.warbreckcarsales.co.uk
10002126,Petrol Heads Motor Company Ltd,0.0,,"76 Wallasey Road, Wallasey, Wirral, Merseyside, CH44 2AE",(07537)-124978,
10040067,MXW Automotive Limited,4.8,,"28A Tarran Way West, Tarran Industrial Estate, Wirral, Merseyside, CH46 4TT",(07441)-906282,
10015082,Brookway Cars,0.0,,"Unit D6 21 BROOKWAY, NORTH CHESHIRE TRADING ESTATE, Prenton, Merseyside, CH43 3DS",(0151)-382-8549,www.brookwaycars.co.uk
10001179,Motors Today,4.9," Multi-Award Winning Dealership,  Aftersales Excellence winners , Trading Standards Approved ","ARROWE PARK ROAD, UPTON, Wirral, Merseyside, CH49 0UF",(0151)-382-3357,www.motors-today.co.uk
10027563,Northwest Car and Van Sales LTD,5.0, finance options available,"Unit 6, PAULA WORKS, CHARNOCK ROAD, Liverpool, Lancashire, L9 7ET",(0151)-382-0939,www.northwestcarandvansales.co.uk
89588,Peoples Liverpool Bootle,4.9," Try Before You Buy, Personalised Videos, Reserve Online for £99","Orrell Lane, Bootle, Liverpool, Merseyside, L20 6PD",(0151)-382-7161,www.peoplescars.co.uk
10039901,Peoples BYD Liverpool,5.0,"Approved BYD Dealer,  Family Owned Business, Electric Vehicles","Trinity Park, Orrell Lane, Bootle, Merseyside, L20 6PD",(0151)-5564455,www.peoplescars.co.uk
10044958,Long Lane Budget Car & Van Sales,5.0," Budget Car & Van Specialists, All Vehicles Are HPI Clear, Nation Wide Delivery Available","Unit 2, Nelson Industrial Estate, Long Lane, Walton, Liverpool, Lancashire, L9 7BN",(07441)-939694,
14917,Da Blundell Car Sales,4.8,,"Unit 4 Brookfield Drive, Liverpool, Merseyside, L9 7AJ",(07537)-124580,www.dablundellcarsales.co.uk
10005124,Tallbrook Ltd,5.0," EXCELLENT CUSTOMER SERVICE,  MOT , 82 POINT PDI , SERVICE","440 HOYLAKE ROAD, Wirral, Merseyside, CH46 6DG",(0151)-382-7178,www.tallbrook.co.uk
10018476,DW CAR SALES LTD,0.0,"Every car is checked and clear, Reserve online for £99, See our 5* reviews","rear of 71 DERBY LANE, Liverpool, Lancashire, L13 6QE",(0151)-382-7176,www.dw-carsales.co.uk
10245,Wavertree Car Centre Limited,4.9, Established for over 40 years,"19 - 21 HIGH STREET, Wavertree, Liverpool, Merseyside, L15 8HE",(0151)-382-6166,www.wavertreecarcentre.co.uk
49603,Stellantis &You Liverpool,4.9,"Reserve Online for £99, Manufacturer approved dealer, You always pay the right price","77 Mill Lane, Liverpool, Merseyside, L13 4EJ",(0151)-382-8251,www.stellantisandyou.co.uk
15390,Crosby Park Garage,5.0," Global award for customer care,  3rd generation family run,  Operating since 1954","2 Coronation Road, Crosby, Liverpool, Merseyside, L23 3BJ",(0151)-382-2016,www.crosbyparkgarage.co.uk
10031756,Allerton Motorsales,0.0,,"559 Smithdown Road, Liverpool, Lancashire, L15 5AF",(0151)-382-1640,www.allertonmotorsalesltd.co.uk
575394,Bromborough Road Car Sales,5.0,,"The Old Rail Yard, Bromborough Road, Wirral, Merseyside, CH63 7RF",(0151)-382-8399,www.bromboroughroadcarsales.co.uk
10023777,Port Sunlight Cars,0.0,,"BROMBOROUGH ROAD, Wirral, Merseyside, CH63 7RD",(0151)-382-7085,www.portsunlightcars.co.uk
10040309,Family Driven Motors Ltd,4.6,,"The Lighthouse, Riverbank Road, Bromborough, Wirral, Merseyside, CH62 3JQ",(07537)-124596,www.fdmotors.co.uk
10037161,Light House Motors,5.0,"5 Star After Care! ⭐⭐⭐⭐⭐, Each Car Comes with New MOT !, At Least Half a Tank Per Car!","The Lighthouse, Riverbank Road, Bromborough, Wirral, Merseyside, CH62 3JQ",(07537)-122468,www.lighthousemotors.co.uk
10015202,Ellis Ashton Motor Company,5.0,,"The Lighthouse, Riverbank Road, Bromborough, Wirral, Merseyside, CH62 3JQ",(0151)-382-6346,www.ellisashtonmotorcompany.co.uk
7979,Fairway Motors (Liverpool) Ltd,5.0,,"Copplehouse Lane, Liverpool, Merseyside, L10 0AE",(0151)-382-7164,www.fairwayford.co.uk
4585,Irby Motor Company,4.7, Family run for over 30 years,"9 Mill Hill Road, Irby, Wirral, Cheshire, CH61 4UB",(0151)-382-9769,www.irbymotor.co.uk
343641,Woods of Wirral Motor Company Trading Standards Approved Dealership,4.8, Family owned for 20 years,"31A Carham Road, Hoylake, Wirral, Merseyside, CH47 4FF",(0151)-382-7193,www.woodsofwirral.co.uk
10043382,Gateway Motor group,4.8,"High Quality Vehicles, Home Delivery Available, Finance Available","Gateway House, The Gateway, Old Hall Road, Bromborough, Wirral, Merseyside, CH62 3NX",(0151)-382-4353,www.gatewaymotorgroup.co.uk
10003542,Gateacre Motors Ltd,5.0," Quality Used Cars, Car Finance Specialists, RAC Approved Dealer","UNIT 18 THURNE WAY, Liverpool, Merseyside, L25 4SQ",(0151)-382-7239,www.gateacremotors.co.uk
10036111,JRP AUTOS LTD,4.4,,"Unit 3,  Grisedale Road, Old Hall Industrial Estate, Wirral, Merseyside, CH62 3QA",(07457)-401378,jrpautos.co.uk
10011104,Maghull Garages Limited,5.0,,"UNIT 1G SEFTON LANE INDUSTRIAL ESTATE, Liverpool, Lancashire, L31 8BX",(0151)-382-7592,mglcars.co.uk
10013171,HWF Motors,3.7," HWF Motors Ltd, Can Arrange Out of Hours Visit, Leave £100 to Secure a Car","SEFTON LANE INDUSTRIAL ESTATE, UNIT 3A, Liverpool, Lancashire, L31 8BX",(07537)-165518,www.hwfmotors.co.uk
10024239,Georgesons Knowsley,4.9," Family run since 1955, Top rated Dealer 4.9* Rating, Part Exchange and Finance ","RANDLES ROAD, KNOWSLEY BUSINESS PARK, Prescot, Merseyside, L34 9HX",(0330)-038-9150,www.georgesonscars.co.uk
